LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID47379,47379,152,418.0,364.5073895865924,248.30631468075637,0.0,2249.9515056610107,75,4.2091016526295535,1,,3583.5142857142855,3588.0,1779.0,5346.0,1505076.0,681.115130354493,-0.41057027266012003,-7.329495351190985,0.15128260528830037,-0.07173806457572439,4.776097037096468,3.9044552848788485,1.3926370619271087,1.2232428568444127,55.65814161341942,35.54676525496619,0.5535264688804507,0.8935037273695408,4.764701910475407
ID47701,47701,152,422.0,363.72895255330167,222.50348689335544,0.0,2459.946979522705,82,4.221625041365173,1,,3423.428909952607,3350.0,2055.0,5400.0,1444687.0,602.574132530997,-0.4141024787098512,-8.030951343656495,-0.04412323706127459,0.06848868959515131,4.77472277127767,3.88944100706908,1.197744623598428,1.2276115674719286,55.989834948422214,33.01520632670834,0.6454922314048821,0.8978723404255332,4.412242993088118
ID50133,50133,152,454.0,360.03598665782255,186.15792390839863,0.0,3179.9314613342285,106,4.383581951291355,1,,3428.30989010989,3386.0,2020.0,5383.0,1559881.0,626.562134670146,-0.374387044653902,-6.548789034786145,-0.02006085666133582,0.03269928316085686,5.663585838471247,3.5975890674487103,-0.8893445662518015,1.574272584302596,60.36818697045499,34.0569078074599,0.6540449090526562,0.909090909090908,4.38329951311957
ID49942,49942,152,447.0,359.74856476572836,187.42271676982625,0.0,3119.9327545166016,104,4.34001130873205,1,,3445.378923766816,3336.0,2260.0,5616.0,1536639.0,638.8105536932295,-0.3753560756298956,-6.4819523729150115,0.1148531630214588,0.041264329108387114,4.999062940442585,3.896327567064571,2.5507195617858915,1.28301916468712,59.17409096444601,35.68947848886106,0.5837959196619289,0.8702439024390238,4.639534455856021
ID48791,48791,152,428.0,361.6021095304014,196.54229350392504,0.0,2789.9398670196533,93,4.219123337417256,1,,3341.080378250591,3260.0,1975.0,5315.0,1413277.0,592.4934324173362,-0.41175042974940124,-7.894158124940444,-0.06946282791120721,-0.3374989737058882,5.2100539643569554,3.485046804214139,2.088983103689638,1.494973886163287,55.92349628142151,40.636154114959396,0.42557781627262536,0.8176527643064954,5.433947536868141
ID48602,48602,152,439.0,362.0125717105474,198.31375742519228,0.0,2699.941806793213,90,4.31561532397142,1,,3309.292517006803,3204.0,2014.0,5385.0,1459398.0,588.9004416269554,-0.40127017711851387,-7.53232873188989,-0.07184178690212849,-0.4501605163945149,4.97469433215729,4.05726003961756,2.0296878119080195,1.2261216396241161,58.510704294440984,34.13195106452654,0.6311360118021788,0.8630136986301349,4.462142663597409
ID49818,49818,152,428.0,359.41253533104845,187.6375692713051,0.0,3089.933401107788,103,4.246561023381924,1,,3437.1529411764704,3395.0,2133.0,5353.0,1460790.0,629.0110144272599,-0.4040309013271019,-7.409031528982344,0.27843813355569696,0.031561241667994525,5.192308197991597,3.7412234372699613,2.5982270108242553,1.3878636988814863,56.65322161842689,36.022742898250804,0.548631726344524,0.85829145728643,4.7859093987130406
ID48220,48220,152,434.0,361.6386880722147,206.20837654126373,0.0,2609.9437465667725,87,4.291080643505998,1,,3377.793577981651,3320.0,2189.0,5146.0,1472718.0,662.3100836822344,-0.40230514965764425,-6.865589164937017,0.13014838504499462,-0.03191196243378295,4.479749887780895,4.207940024651151,1.5660003286737911,1.064594519298615,57.847317624436116,35.96793496611194,0.561903944718028,0.8719999999999998,4.7290498444288005
ID49308,49308,152,428.0,361.05501285746783,191.14122300661475,0.0,2909.937280654907,97,4.251530669346235,1,,3371.6028037383176,3249.0,2140.0,5324.0,1443046.0,640.6451711425598,-0.4124989376143206,-7.390316245288356,0.02005441829475574,0.03714472688632172,5.526661419185897,3.405208363423923,-0.8311080847443174,1.6230024213933452,56.78589895242816,36.33190388334102,0.5405975288591528,0.8672745694022305,4.821341609795162
ID50781,50781,152,389.0,362.10765029108774,179.74672440648166,0.0,3329.928228378296,111,4.050596129279377,1,,3569.2757731958764,3552.0,2201.0,5937.0,1384879.0,683.0156862244085,-0.43984589646005046,-8.206773448699506,-0.15306504174932276,-0.1470841743421359,6.007870944295701,2.9754848907934455,-1.4379032651824897,2.019123324364667,51.54514425938866,38.90443737853806,0.4279562223453784,0.8445652173913055,5.418826667042237
